요양기관명,시도코드명,시군구코드명,좌표(X),좌표(Y),주소,좌표(X)_round,좌표(Y)_round
구민지소아청소년과의원,경상남도,진주시,128.1114652,35.2136701,,128.1115,35.2137
구소아청소년과의원,서울특별시,노원구,127.0654593,37.6648282,,127.0655,37.6648
구소아청소년과의원,경기도,성남중원구,127.1636868,37.4460474,,127.1637,37.446
구영365소아청소년과의원,울산광역시,울산울주군,129.2410064,35.5748362,,129.241,35.5748
구자훈소아과의원,대구광역시,대구수성구,128.6254786,35.8598306,,128.6255,35.8598
국소아청소년과의원,대전광역시,대전서구,127.3787878,36.2988326,,127.3788,36.2988
군산메디베베소아청소년과의원,전라북도,군산시,126.7171656,35.9637563,,126.7172,35.9638
군산우리들소아청소년과의원,전라북도,군산시,126.6995086,35.9624474,,126.6995,35.9624
굿닥터소아과의원,경기도,수원팔달구,127.036073,37.2716626,,127.0361,37.2717
굿모닝라이프소아청소년과의원,서울특별시,강남구,127.0396693,37.5161365,,127.0397,37.5161
굿모닝소아청소년과의원,서울특별시,노원구,127.0686561,37.6398605,,127.0687,37.6399
굿모닝소아청소년과의원,경기도,화성시,127.0367529,37.2037169,,127.0368,37.2037
굿모닝소아청소년과의원,경기도,고양덕양구,126.8349888,37.6244151,,126.835,37.6244
굿모닝소아청소년과의원,충청북도,청주흥덕구,127.3296356,36.6311463,,127.3296,36.6311
굿모닝소아청소년과의원,충청북도,청주상당구,127.5035476,36.6308066,,127.5035,36.6308
굿모닝연합소아청소년과의원,경상북도,포항북구,129.401695,36.0828735,,129.4017,36.0829
굿소아청소년과의원,전라남도,순천시,127.5461465,34.9346455,,127.5461,34.9346
굿앤웰내과소아청소년과의원,서울특별시,송파구,127.0939713,37.5111896,,127.094,37.5112
굿키즈소아청소년과의원,경기도,화성시,127.0419608,37.214627,,127.042,37.2146
권광인소아과의원,대구광역시,대구서구,128.5472264,35.869285,,128.5472,35.8693
권대현소아청소년과의원,충청북도,청주흥덕구,127.4719345,36.6534832,,127.4719,36.6535
권소아과의원,서울특별시,광진구,127.0972644,37.5413606,,127.0973,37.5414
권소아과의원,경상북도,구미시,128.3232643,36.1399756,,128.3233,36.14
권소아청소년과의원,서울특별시,은평구,126.9213852,37.5987018,,126.9214,37.5987
권소아청소년과의원,경기도,안성시,127.2676156,37.0077318,,127.2676,37.0077
권순완소아청소년과의원,부산광역시,부산해운대구,129.1195631,35.2021038,,129.1196,35.2021
권오균소아과의원,대전광역시,대전유성구,127.3113748,36.3915756,,127.3114,36.3916
권재봉소아과의원,충청북도,충주시,127.9155992,36.9810733,,127.9156,36.9811
권창규소아청소년과의원,인천광역시,인천서구,126.6726479,37.5920804,,126.6726,37.5921
권향미소아과의원,충청북도,충주시,127.9345291,36.972832,,127.9345,36.9728
권혁철소아과의원,서울특별시,동작구,126.9115326,37.4920816,,126.9115,37.4921
권형진소아과의원,경상남도,진주시,128.06802,35.1832789,,128.068,35.1833
규림소아청소년과의원,경기도,남양주시,127.2018874,37.698992,,127.2019,37.699
그리던소아치과의원,경기도,화성시,127.0619473,37.2368074,,127.0619,37.2368
그린소아과의원,서울특별시,관악구,126.933731,37.4742372,,126.9337,37.4742
그린소아청소년과의원,서울특별시,강남구,127.0553588,37.5218008,,127.0554,37.5218
그린소아청소년과의원,서울특별시,송파구,127.1190372,37.5032475,,127.119,37.5032
그린소아청소년과의원,경기도,하남시,127.2016294,37.53948,,127.2016,37.5395
그린소아청소년과의원,인천광역시,인천미추홀구,126.6620373,37.4721127,,126.662,37.4721
그린소아청소년과의원,전라남도,목포시,126.3751761,34.8049523,,126.3752,34.805
금곡윤소아청소년과의원,부산광역시,부산북구,129.0138438,35.2522461,,129.0138,35.2522
금동소아청소년과의원,경기도,성남중원구,127.1575293,37.4452336,,127.1575,37.4452
금정소아청소년과의원,부산광역시,부산금정구,129.0922161,35.2451243,,129.0922,35.2451
금천연세로이소아청소년과의원,서울특별시,금천구,126.8972935,37.4599811,,126.8973,37.46
기린소아청소년과의원,서울특별시,송파구,127.1272823,37.4776424,,127.1273,37.4776
기린소아청소년과의원,강원특별자치도,원주시,127.8705794,37.3785403,,127.8706,37.3785
기린아이소아청소년과의원,서울특별시,성북구,127.0355786,37.6114752,,127.0356,37.6115
기린웰소아청소년과의원,경기도,용인기흥구,127.1515224,37.27795,,127.1515,37.2779
기쁨소아청소년과의원,서울특별시,노원구,127.0655009,37.6521231,,127.0655,37.6521
기쁨소아청소년과의원,광주광역시,광주광산구,126.8161335,35.1779105,,126.8161,35.1779
길소아청소년과의원,충청북도,청주상당구,127.5105055,36.612123,,127.5105,36.6121
길태환소아청소년과의원,대전광역시,대전동구,127.4425828,36.3262283,,127.4426,36.3262
김&안소아과의원,서울특별시,양천구,126.8747807,37.5223171,,126.8748,37.5223
김강호소아청소년과의원,광주광역시,광주남구,126.9112205,35.1286546,,126.9112,35.1287
김경배소아청소년과의원,전라북도,익산시,126.9903685,35.9579279,,126.9904,35.9579
김경범소아청소년과의원,경기도,시흥시,126.784624,37.3425827,,126.7846,37.3426
김경신소아청소년과의원,경기도,수원장안구,126.9963839,37.3051579,,126.9964,37.3052
김경환소아청소년과의원,부산광역시,부산북구,129.0299002,35.2102203,,129.0299,35.2102
김경효소아과의원,서울특별시,구로구,126.8759093,37.4970779,,126.8759,37.4971
김경희소아청소년과의원,전라북도,전주덕진구,127.1331415,35.8788618,,127.1331,35.8789
김계영 내과.소아 청소년과 의원,부산광역시,부산남구,129.0941229,35.135072,,129.0941,35.1351
김광정소아과의원,경기도,부천소사구,126.7832361,37.4827564,,126.7832,37.4828
김교일소아청소년과의원,대구광역시,대구달서구,128.5196284,35.8160761,,128.5196,35.8161
김규엽소아청소년과의원,경기도,의왕시,126.9794835,37.386817,,126.9795,37.3868
김기민소아청소년과의원,경상남도,창원진해구,128.6666834,35.1524617,,128.6667,35.1525
김나연소아과의원,경기도,의정부시,127.0806445,37.7500299,,127.0806,37.75
김남철소아청소년과의원,대전광역시,대전동구,127.4364706,36.3412597,,127.4365,36.3413
김대일소아청소년과의원,경기도,광주시,127.3127712,37.3640122,,127.3128,37.364
김덕하소아청소년과의원,경기도,화성시,127.0609874,37.2095824,,127.061,37.2096
김도현소아청소년과의원,서울특별시,용산구,126.9678941,37.5383556,,126.9679,37.5384
김동균소아청소년과의원,서울특별시,서초구,127.0121591,37.502428,,127.0122,37.5024
김동남소아청소년과의원,경기도,성남중원구,127.1646788,37.4580203,,127.1647,37.458
김동억소아청소년과의원,대구광역시,대구북구,128.5430152,35.9359611,,128.543,35.936
김동준소아청소년과의원,충청북도,제천시,128.2163103,37.1519848,,128.2163,37.152
김동현소아치과치과의원,서울특별시,강서구,126.8263894,37.5532397,,126.8264,37.5532
김란미즈소아청소년과의원,경기도,양평군,127.4935204,37.4894214,,127.4935,37.4894
김명숙소아청소년과의원,대전광역시,대전동구,127.4433745,36.3296268,,127.4434,36.3296
김미경소아과의원,서울특별시,송파구,127.1520885,37.4943506,,127.1521,37.4944
김미란서울소아청소년과의원,서울특별시,강서구,126.8634148,37.5328493,,126.8634,37.5328
김미봉소아청소년과의원,경상남도,진주시,128.1324029,35.1697704,,128.1324,35.1698
김민정소아과의원,충청남도,계룡시,127.2413121,36.2888639,,127.2413,36.2889
김법성소아청소년과의원,경기도,광주시,127.1525281,37.3608578,,127.1525,37.3609
김병연소아청소년과의원,경기도,용인수지구,127.0699527,37.2983853,,127.07,37.2984
김봉관소아과의원,부산광역시,부산동래구,129.0602275,35.1974089,,129.0602,35.1974
김부진소아청소년과의원,경상남도,김해시,128.9006946,35.2419178,,128.9007,35.2419
김사라소아청소년과의원,경기도,시흥시,126.7892983,37.3788623,,126.7893,37.3789
김사영소아청소년과의원,부산광역시,부산기장군,129.2160541,35.2449303,,129.2161,35.2449
김상관소아청소년과의원,경상북도,칠곡군,128.4043836,36.0683551,,128.4044,36.0684
김상정소아청소년과의원,인천광역시,인천계양구,126.7391625,37.52795,,126.7392,37.5279
김상현소아청소년과의원,경기도,오산시,127.0779655,37.1563753,,127.078,37.1564
김선영소아과의원,서울특별시,성북구,127.0220926,37.5988848,,127.0221,37.5989
김성미소아청소년과의원,부산광역시,부산남구,129.112892,35.132059,,129.1129,35.1321
김성화소아청소년과의원,인천광역시,인천부평구,126.7040185,37.5059208,,126.704,37.5059
김성훈소아청소년과의원,경상남도,김해시,128.9110661,35.2484425,,128.9111,35.2484
김세진소아청소년과의원,서울특별시,성북구,127.0405332,37.6018543,,127.0405,37.6019
김세희소아과의원,제주특별자치도,제주시,126.5392443,33.5061273,,126.5392,33.5061
김소아과의원,서울특별시,광진구,127.0712246,37.5507302,,127.0712,37.5507
김소아청소년과의원,경기도,남양주시,127.1979609,37.7375732,,127.198,37.7376
김소아청소년과의원,경기도,성남분당구,127.1179125,37.3897806,,127.1179,37.3898
김소아청소년과의원,인천광역시,인천부평구,126.7103109,37.5030668,,126.7103,37.5031
김소아청소년과의원,강원특별자치도,속초시,128.5721888,38.1974651,,128.5722,38.1975
김소아청소년과의원,부산광역시,부산연제구,129.0697437,35.1838791,,129.0697,35.1839
김소아청소년과의원,부산광역시,부산남구,129.080933,35.1165045,,129.0809,35.1165
김소아청소년과의원,대구광역시,대구중구,128.582862,35.8608406,,128.5829,35.8608
김소아청소년과의원,경상남도,사천시,128.0865918,35.0804801,,128.0866,35.0805
김소아청소년과의원,경상남도,거창군,127.9151,35.6903679,,127.9151,35.6904
김소아청소년과의원,전라북도,전주덕진구,127.1581575,35.8320335,,127.1582,35.832
김순화소아과의원,서울특별시,중구,127.0109252,37.5539971,,127.0109,37.554
김승국소아과의원,서울특별시,금천구,126.9087387,37.4512771,,126.9087,37.4513
김승기소아과의원,경상남도,진주시,128.1097831,35.179231,,128.1098,35.1792
김승연밝은소아청소년과의원,경기도,의정부시,127.1100955,37.7294025,,127.1101,37.7294
김승주소아청소년과의원,경기도,부천오정구,126.8045696,37.5267223,,126.8046,37.5267
김신향소아과의원,대구광역시,대구달서구,128.5445412,35.8414175,,128.5445,35.8414
김앤리소아청소년과의원,경기도,부천원미구,126.7535144,37.5034976,,126.7535,37.5035
김앤신연합소아청소년과의원,대구광역시,대구달서구,128.5307699,35.8198523,,128.5308,35.8199
김앤오소아청소년과의원,경기도,김포시,126.6826066,37.65416,,126.6826,37.6542
김앤정소아청소년과의원,경기도,파주시,126.7176509,37.7258062,,126.7177,37.7258
김양수소아청소년과의원,경상남도,진주시,128.1157182,35.2032371,,128.1157,35.2032
김연기소아청소년과의원,서울특별시,은평구,126.8942678,37.5830916,,126.8943,37.5831
김연심소아청소년과의원,경기도,파주시,126.73781,37.7184805,,126.7378,37.7185
김연합소아청소년과의원,경상북도,경산시,128.7224016,35.8231882,,128.7224,35.8232
김영국소아청소년과의원,경기도,수원영통구,127.0775293,37.2641735,,127.0775,37.2642
김영민소아청소년과의원,대구광역시,대구동구,128.7033768,35.8698585,,128.7034,35.8699
김영소아청소년과의원,대전광역시,대전동구,127.4574461,36.3172404,,127.4574,36.3172
김영식소아청소년과의원,인천광역시,인천부평구,126.7175656,37.5023705,,126.7176,37.5024
김영준소아청소년과의원,서울특별시,영등포구,126.920892,37.5039663,,126.9209,37.504
김영철소아청소년과의원,대구광역시,대구달성군,128.4615376,35.6932578,,128.4615,35.6933
김영환소아과의원,경기도,군포시,126.9317618,37.3558382,,126.9318,37.3558
김예진성장소아청소년과의원,울산광역시,울산남구,129.3382613,35.5398053,,129.3383,35.5398
김옥영소아청소년과의원,부산광역시,부산금정구,129.090704,35.239289,,129.0907,35.2393
김용석소아청소년과의원,대전광역시,대전서구,127.3964569,36.3551614,,127.3965,36.3552
김용준소아청소년과의원,부산광역시,부산사상구,129.004055,35.1500801,,129.0041,35.1501
김용호소아청소년과의원,서울특별시,금천구,126.904779,37.4597151,,126.9048,37.4597
김원배소아청소년과의원,인천광역시,인천미추홀구,126.6372773,37.4516386,,126.6373,37.4516
김원태소아청소년과의원,경상북도,포항남구,129.4136854,35.9756032,,129.4137,35.9756
김윤정 소아청소년과 의원,대구광역시,대구수성구,128.6101088,35.8560684,,128.6101,35.8561
김윤희소아청소년과의원,서울특별시,양천구,126.8716129,37.5190304,,126.8716,37.519
김은실한재희소아과의원,경기도,고양덕양구,126.838118,37.6246449,,126.8381,37.6246
김은아소아청소년과의원,서울특별시,서대문구,126.9416347,37.5938007,,126.9416,37.5938
김은옥소아청소년과의원,경기도,남양주시,127.1735875,37.6014671,,127.1736,37.6015
김은정소아과의원,울산광역시,울산북구,129.3536308,35.5536992,,129.3536,35.5537
김은정소아청소년과의원,대구광역시,대구수성구,128.6424878,35.8585297,,128.6425,35.8585
김이경소아청소년과의원,경기도,성남수정구,127.0948607,37.4274726,,127.0949,37.4275
김이태소아청소년과의원,부산광역시,부산사상구,128.982358,35.1672794,,128.9824,35.1673
김정호소아과의원,울산광역시,울산남구,129.3204773,35.527898,,129.3205,35.5279
김종범소아청소년과의원,전라북도,김제시,126.885282,35.7987569,,126.8853,35.7988
김종석소아청소년과의원,부산광역시,부산사하구,128.9798421,35.0639982,,128.9798,35.064
김종완소아청소년과의원,경기도,하남시,127.2019465,37.5399292,,127.2019,37.5399
김종인소아청소년과의원,충청남도,천안서북구,127.1267499,36.7940774,,127.1267,36.7941
김종찬소아과의원,경기도,부천소사구,126.7642489,37.4843269,,126.7642,37.4843
김종화푸른소아과의원,경기도,용인수지구,127.0946889,37.3245239,,127.0947,37.3245
김주예소아청소년과의원,서울특별시,서대문구,126.9232676,37.5772818,,126.9233,37.5773
김주완소아청소년과의원,전라북도,군산시,126.7148569,35.9655733,,126.7149,35.9656
김주휘소아청소년과의원,광주광역시,광주광산구,126.8026708,35.1657166,,126.8027,35.1657
김준호소아과의원,서울특별시,노원구,127.0626385,37.638983,,127.0626,37.639
김지혜소아청소년과의원,서울특별시,중랑구,127.0913696,37.6169623,,127.0914,37.617
김진수소아청소년과의원,전라북도,남원시,127.3877683,35.4091482,,127.3878,35.4091
김진아소아과의원,서울특별시,구로구,126.849844,37.5026542,,126.8498,37.5027
김진우소아청소년과의원,경상남도,거제시,128.6174576,34.8912164,,128.6175,34.8912
김창덕소아청소년과의원,충청남도,홍성군,126.6661843,36.6009432,,126.6662,36.6009
김철기소아청소년과의원,경상북도,구미시,128.3490766,36.1191492,,128.3491,36.1191
김철하소아청소년과의원,경기도,남양주시,127.30599,37.6524934,,127.306,37.6525
김태숙소아청소년과의원,경기도,안양동안구,126.9583218,37.3706812,,126.9583,37.3707
김태희소아청소년과의원,서울특별시,성동구,127.0140028,37.54671,,127.014,37.5467
김포쥬니어소아치과치과의원,경기도,김포시,126.6668253,37.6448303,,126.6668,37.6448
김학원소아과의원,서울특별시,송파구,127.1446697,37.4928623,,127.1447,37.4929
김향주소아청소년과의원,부산광역시,부산수영구,129.1065824,35.1733812,,129.1066,35.1734
김현미소아청소년과의원,경기도,김포시,126.7029641,37.6286025,,126.703,37.6286
김현소아청소년과의원,서울특별시,도봉구,127.035353,37.6653742,,127.0354,37.6654
김현소아청소년과의원,경기도,성남중원구,127.1366006,37.4303258,,127.1366,37.4303
김현지키움소아청소년과의원,부산광역시,부산남구,129.0952329,35.1351378,,129.0952,35.1351
김형석소아과의원,서울특별시,용산구,126.9500687,37.5338712,,126.9501,37.5339
김형석소아청소년과의원,부산광역시,부산금정구,129.0890496,35.2466285,,129.089,35.2466
김혜영소아청소년과의원,전라북도,전주완산구,127.1408995,35.7981334,,127.1409,35.7981
김호수소아과의원,경기도,성남분당구,127.1233299,37.3697159,,127.1233,37.3697
김효정소아과의원,서울특별시,중랑구,127.0888289,37.5802856,,127.0888,37.5803
까르르 하나 소아청소년과 의원,강원특별자치도,춘천시,127.7477797,37.8824913,,127.7478,37.8825
꼬꼬마소아청소년과의원,인천광역시,인천연수구,126.6449188,37.4245086,,126.6449,37.4245
꽃소아청소년과의원,서울특별시,양천구,126.8444449,37.5223687,,126.8444,37.5224
꾸러기소아과의원,강원특별자치도,동해시,129.1134223,37.522743,,129.1134,37.5227
꾸러기소아청소년과의원,경기도,시흥시,126.8122329,37.3679744,,126.8122,37.368
꾸러기소아청소년과의원,경기도,안산단원구,126.8126755,37.3355899,,126.8127,37.3356
꾸러기소아청소년과의원,경기도,용인수지구,127.0853324,37.3089181,,127.0853,37.3089
꾸러기소아청소년과의원,인천광역시,인천부평구,126.7326286,37.4850372,,126.7326,37.485
꾸러기소아청소년과의원,대전광역시,대전서구,127.3815094,36.334146,,127.3815,36.3341
꾸러기소아청소년과의원,제주특별자치도,제주시,126.4311052,33.4871189,,126.4311,33.4871
꿈꾸는 소아치과의원,경기도,화성시,127.1110123,37.2073301,,127.111,37.2073
꿈꾸는소아청소년과의원,인천광역시,인천서구,126.7125995,37.5939028,,126.7126,37.5939
꿈꾸는소아치과의원,경기도,수원권선구,126.9529603,37.2743275,,126.953,37.2743
꿈나무소아과의원,서울특별시,양천구,126.8787218,37.5356163,,126.8787,37.5356
꿈나무소아청소년과의원,서울특별시,성동구,127.0247865,37.5665508,,127.0248,37.5666
꿈나무소아청소년과의원,서울특별시,마포구,126.9530883,37.5474434,,126.9531,37.5474
꿈나무소아청소년과의원,경상남도,창원성산구,128.70763,35.2072684,,128.7076,35.2073
꿈나무연합소아청소년과의원,대구광역시,대구북구,128.5630667,35.9420997,,128.5631,35.9421
꿈담소아청소년과의원,세종시,세종시,127.2346888,36.5193249,,127.2347,36.5193
꿈드림소아청소년과의원,전라북도,전주덕진구,127.164223,35.8313905,,127.1642,35.8314
꿈바당소아치과의원,제주특별자치도,제주시,126.5435873,33.4777477,,126.5436,33.4777
꿈소아청소년과의원,경기도,용인처인구,127.2080697,37.2357756,,127.2081,37.2358
꿈소아청소년과의원,대전광역시,대전대덕구,127.4493484,36.3549902,,127.4493,36.355
꿈소아청소년과의원,충청남도,논산시,127.0993855,36.1903401,,127.0994,36.1903
